name,meaning,gender,origin
Jamarick,Strong and handsome.,M,Unknown
Jamarreon,Strong willed.,M,American
Jamee,Pet form of James used as a woman's name.,F,Scottish
Jameel,Handsome.,M,Arabic
Jameelah,Beautiful,F,Arabic
Jamel,Handsome.,M,Arabic
Jamelia,Variant of Jameelah. Beautiful,F,Arabic
James,Replace,M,English
James,Supplanter,M,Hebrew
Jameson,Variant of Jacob Supplanter.,M,English
Jamey,Pet form of James used as a woman's name.,F,Scottish
Jami,Pet form of James used as a woman's name.,F,Scottish
Jamia,Pet form of James used as a woman's name.,F,Scottish
Jamian,Right hand of favor. A Biblical name.,M,Hebrew
Jamie,Pet form of James used as a woman's name.,F,Scottish
Jamie,Supplanter,M,Hebrew
Jamie,Variant of Jacob Supplanter.,M,Scottish
Jamiel,Handsome.,M,Arabic
Jamiel,Right hand of favor. A Biblical name.,M,Hebrew
Jamielee,Pet form of James used as a woman's name.,F,Scottish
Jamieson,Variant of Jacob Supplanter.,M,Scottish
Jamil,beautiful,M,Arabic
Jamil,Handsome.,M,Arabic
Jamila,Beautiful,F,Arabic
Jamila,beauty,F,Egyptian
Jamilah,beautiful,F,Arabic
Jamilah,Variant of Jameelah. Beautiful,F,Arabic
Jamile,Handsome.,M,Arabic
Jamilee,Beautiful,F,American
Jamilia,Variant of Jameelah. Beautiful,F,Arabic
Jamilla,Variant of Jameelah. Beautiful,F,Arabic
Jamille,Variant of Jameelah. Beautiful,F,Arabic
Jamilyn,Pet form of James used as a woman's name.,F,Scottish
Jamin,Right hand of favor. A Biblical name.,M,Hebrew
Jamion,Combination of James and Damion.,M,Unknown
Jamir,,M,Unknown
Jamison,Pet form of James used as a woman's name.,F,Scottish
Jamison,Variant of Jacob Supplanter.,M,English
Jamiya,,F,Unknown
Jamon,Right hand of favor. A Biblical name.,M,Hebrew
Jan,Dutch form of John, &quot;the Lord is gracious.&quot;,M,Dutch
Jan,Dutch form of John, &quot;the Lord is gracious.&quot;,M,Scandinavian
Jan,Gift from God,F,Hebrew
Jan,Gift from God,M,Hebrew
Jan,the Lord is gracious,M,Romanian
Jana,Feminine form of John God is gracious,F,Irish
Jana,Gift from God,F,Hebrew
Jana,God's gift,F,Czechoslovakian
Jana,God's gracious gift,F,Slavic
Janae,Modern name based on Jane or Jean or Janai meaning God has answered.,F,English
Janah,God is gracious.,F,Irish
Janai,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Janais,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Janan,heart; soul,F,Arabic
Janaya,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Janaya,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,M,English
Janaye,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jancsi,Gift from God,M,Hebrew
Jane,Feminine of John. Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Jane,Gift from God,F,Hebrew
Janea,,F,Unknown
Janee,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Janee,Jehovah has been gracious: has shown favor. Variant of Joan.,F,Hebrew
Janeen,,F,Unknown
Janell,Variant of Jane. Jehovah has been gracious: has shown favor.,F,English
Janella,Variant of Jane. Jehovah has been gracious: has shown favor.,F,English
Janelle,God is gracious.,F,Hebrew
Janene,Variant of Jeannine.,F,English
Janene,Variant of Jeannine.,M,English
Janessa,,F,Unknown
Janet,Gift from God,F,Hebrew
Janet,Variant of Jane: from the French Jeanette.,F,Scottish
Janetta,Gift from God,F,Hebrew
Janetta,Variant of Jane: from the French Jeanette.,F,Scottish
Janette,Gift from God,F,Hebrew
Janey,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Jani,Finnish form of John (God is gracious),M,Finnish
Jani,Gift from God,M,Hebrew
Janiah,,F,Unknown
Janice,Gift from God,F,Hebrew
Janicia,Variant of Jane.,F,English
Janie,Gift from God,M,Hebrew
Janie,Gift from God: Jehovah has been gracious: has shown favor. Variant of Joan.,F,Hebrew
Janie,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Janiece,Variant of Jane.,F,English
Janina,Gift from God,F,Hebrew
Janina,Variant of Jeannine.,F,English
Janine,Gift from God,F,Hebrew
Janis,Gift from God,F,Hebrew
Janise,Variant of Jane.,F,English
Janita,Gift from God,F,Hebrew
Janka,Gift from God,F,Hebrew
Janka,Hungarian form of Joanna (God is gracious),F,Hungarian
Jankia,Gift from God,M,Hebrew
Janko,Gift from God,M,Hebrew
Janna,paradise,F,Indian
Jannae,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Janne,Finnish form of John,M,Finnish
Janne,Gift from God,F,Hebrew
Jannes,Gift from God,M,Hebrew
Jannet,Variant of Jane: from the French Jeanette.,F,Scottish
Janneth,Variant of Jane: from the French Jeanette.,F,Scottish
Janneth,Variant of Jane: from the French Jeanette.,M,Scottish
Jannina,Variant of Jeannine.,F,English
Jannis,Variant of Jane.,F,English
Janos,Gift from God,M,Hebrew
Jans,Gift from God,F,Hebrew
Jansen,Variant of the Hebrew John Jehovah has been gracious: has shown favor.,M,German
Jansje,Gift from God,F,Hebrew
Janson,Son of Jan,M,Dutch
Janson,Son of Jan,M,Scandinavian
Jantis,Sharp spear,M,German
Jantje,Gift from God,M,Hebrew
Janus,myth name (god of beginnings) JEROLIN, JEROME,M,Latin
Janyd,Variant of the French name Gervaise spearman.,M,English
Janyl,Blend of Jar and Darell. See also Jerrell.,M,English
Japera,Shona of Zimbabwe name meaning &quot;offer thanks.&quot;,F,African
Japhet,Handsome,M,Hebrew
Japhet,myth name,M,German
Japheth,May He grant ample room. In the bible Japheth was eldest of Noah's three sons.,M,Hebrew
Jaquelin,Feminine of Jacques derived from James and Jacob.,F,French
Jaquelina,Supplanter,F,Hebrew
Jaqueline,Supplanter,F,Hebrew
Jaquenette,Supplanter,F,Hebrew
Jaques,Supplanter,M,Hebrew
Jaquetta,Supplanter,F,Hebrew
Jarah,He gives sweetness: honey. In the bible Jarah was a descendant of Jonathan.,M,Hebrew
Jaran,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jarda,myth name,M,Czechoslovakian
Jardena,meaning unknown,F,Hebrew
Jared,descending,M,Hebrew
Jared,Descending. A pre-flood Biblical name. The character Jared on the late Sixties TV western The Big Valley.,M,Hebrew
Jarek,January,M,Poland
Jarek,January,M,Slavic
Jarel,Blend of Jar and Darell. See also Jerrell.,M,English
Jarell,Blend of Jar and Darell. See also Jerrell.,M,English
Jaren,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jareth,Blend of Jar and Gareth.,M,Jareth
Jarett,One who rules. Variant of Jared.,M,Hebrew
Jarid,He descends.,M,Hebrew
Jarin,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jarina,farmer,F,Greek
Jarion,,M,Unknown
Jarissa,,F,Unknown
Jarita,myth name (a bird),F,Indian
Jarlath,Tributary lord,M,Irish
Jarman,A German,M,German
Jarmann,A German,M,German
Jarod,Descending,M,Hebrew
Jaroslav,beauty of spring,M,Slavic
Jaroslav,myth name,M,Czechoslovakian
Jarrad,Variant of the French name Gervaise spearman.,M,English
Jarrah,vessel.,M,Arabic
Jarran,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jarred,Variant of the French name Gervaise spearman.,M,English
Jarrel,Blend of Jar and Darell. See also Jerrell.,M,English
Jarrell,Blend of Jar and Darell. See also Jerrell.,M,English
Jarren,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jarret,Spear strong. Variant of Garrett.,M,English
Jarrett,Spear strong. Surname. Variant of Garrett.,M,English
Jarrod,Spear strong. Variant and surname form of Garrett from Gerald.,M,English
Jarron,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jarvi,surname meaning &quot;lake&quot;,M,Finnish
Jarvis,sharp spear,M,German
Jarvis,Variant of the French name Gervaise spearman.,M,English
Jarvis, Jervis,sharp as a spear JERROLD, JAROLD,M,Teutonic
Jaryl,Blend of Jar and Darell. See also Jerrell.,M,English
Jaryn,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jasen,Variant of Jason.,M,Unknown
Jasha,Combination of James and Marsha.,F,Unknown
Jaskirit,Praises of the Lord.,M,India
Jaslynn,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jasmeen,A flower name from the older form Jessamine.,F,Arabic
Jasmeen,A flower name from the older form Jessamine.,F,French
Jasmin,A flower name from the older form Jessamine.,F,Arabic
Jasmin,A flower name from the older form Jessamine.,F,French
Jasmin,A flower name from the older form Jessamine.,M,French
Jasmine,Flower,F,Unknown
Jasmyn,Variant of Jasmine.,F,Unknown
Jasmyne,A flower name from the older form Jessamine.,F,Arabic
Jasmyne,A flower name from the older form Jessamine.,F,French
Jason,healer,M,Greek
Jasone,Assumption,F,Spanish
Jasontae,,M,American
Jaspar,Variant of Caspar or Gaspar Keeper of the treasure.,M,Arabic
Jasper,English form of Casper (master of the treasure),M,English
Jasper,Jasperstone,M,French
Jasper,Jewel,M,Hebrew
Jasper,Master of the treasure,M,English
Jasper,Variant of Caspar or Gaspar Keeper of the treasure.,M,Arabic
Jassem,He of high stature.,M,Arabic
Javan,Son of Japtheth,M,Greek
Javier,Born in January,M,French
Javier,Bright. Variant of Xavier.,M,Spanish
Javiera,Owns a new house,F,Spanish
Javiero,Born in January,M,Spanish
Javin,,M,American
Jawad,open-handed; generous,M,Arabic
Jawara,Senegal and Gambia name meaning &quot;peace loving.&quot;,M,African
Jawhar,Jewel,M,Arabic
Jax,God has been gracious: has shown favor. Based on John or Jacques.,M,English
Jax,Masculine form of the Greek name Hyacinth alas.,M,Spanish
Jaxine,Variant of Jacinta. Also a contemporary blend of Jack and Maxine.,F,English
Jaxon,God has been gracious: has shown favor. Based on John or Jacques.,M,English
Jay,Bluejay,M,French
Jay,Swift,M,German
Jay,Variant of names like Jason and Jacob.,M,English
Jay,victorious JALIL,M,Hindi
Jaya,,F,Unknown
Jayani,,F,Sri Lanka
Jayanti,victory,F,Indian
Jayar,Phonetic name based on initials.,M,English
Jayce,Strong,F,Cherokee
Jaycee,Based on the initials J.C. or an abbreviation of Jacinda.,F,English
Jaycee,Phonetic name based on initials.,M,English
Jaycie,Based on the initials J.C. or an abbreviation of Jacinda.,F,English
Jayde,The gemstone jade: the color green.,F,English
Jaydee,Phonetic name based on initials.,M,English
Jayden,God has heard,F,American
Jayden,Heard by God.,M,English
Jaydon,Jehovah has heard. A Biblical name.,M,Hebrew
Jaydra,Goodness.,F,Arabic
Jaye,Bluejay,M,French
Jaye,swift,M,German
Jaye,Variant of names like Jason and Jacob.,M,English
Jaykell,Combination of Jason and Makell,M,Unknown
Jaykob,Variant of Jacob.,M,Unknown
Jayla,Charity.,F,Arabic
Jaylend,Lending help: helpful to others.,M,American
Jaylene,Feminine variant of Jay,F,English
Jayli,In Gods hands,F,Unknown
Jaylynn,Feminine variant of Jay,F,English
Jayme,Variant of Jacob Supplanter.,M,English
Jaymee,Pet form of James used as a woman's name.,F,Scottish
Jaymes,Variant of Jacob Supplanter.,M,English
Jaymie,Pet form of James used as a woman's name.,F,Scottish
Jaymin,Right hand of favor. A Biblical name.,M,Hebrew
Jayna,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Jayna,Jehovah has been gracious: has shown favor. Variant of Joan.,M,English
Jayne,Gift from God,F,Hebrew
Jayne,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Jayni,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Jaynie,Jehovah has been gracious: has shown favor. Variant of Joan.,F,English
Jaynie,Jehovah has been gracious: has shown favor. Variant of Joan.,F,Hebrew
Jaynie,Jehovah has been gracious: has shown favor. Variant of Joan.,M,Hebrew
Jayron,Variant of names like Jason and Jacob.,M,English
Jayronn,Variant of names like Jason and Jacob.,M,English
Jayson,Healer. Alternate spelling of Jason.,M,Greek
Jayvee,Phonetic name based on initials.,M,English
Jazalyn,,F,American
Jazlyn,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jazlynn,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jazmaine,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jazmin,Flower,F,Japanese
Jazmina,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jazmina,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,M,English
Jazmine,A flower name from the older form Jessamine.,F,Arabic
Jazmine,A flower name from the older form Jessamine.,F,French
Jazmynn,Flowering olive bush.,F,Arabic
Jazzalyn,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jazzalyn,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,M,English
Jazzmine,A flower name from the older form Jessamine.,F,Arabic
Jazzmine,A flower name from the older form Jessamine.,F,French
Jazzmyn,A flower name from the older form Jessamine.,F,Arabic
Jazzmyn,A flower name from the older form Jessamine.,F,French
Jazzmyn,A flower name from the older form Jessamine.,M,Arabic
Jazzy,Modern variant of Jasmine: combination of Jocelyn and the musical term jazz.,F,English
Jean,French form of John (God is gracious),M,French
Jean,Gift from God,M,Hebrew
Jean,Scottish form of Joan gracious gift from God,F,Scottish
Jean,Variant of John.,F,French
Jean,Variant of John. Jean is sometimes hyphenated with a second name and the French pronunciation may be used as in Jean-Luc and Jean-Paul,M,French
Jean Baptiste,French form of John the Baptist,M,French
Jean Baptiste,named for John the Baptist,M,French
Jeana,Variant of John.,F,French
Jeanae,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jeanay,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jeane,Variant of John.,F,French
Jeanee,Variant of John.,F,French
Jeanelle,Variant of Jane. Jehovah has been gracious: has shown favor.,F,English
Jeanelle,Variant of Jane. Jehovah has been gracious: has shown favor.,M,English
Jeanetta,Little Jean,F,French
Jeanette,"God is gracious Dresses comfortably and stylishly. Enjoys the simplicity of living with her family. Always has a smile to share with others. Her energy and enthusiasm will carry her far. Thinks winning thoughts. Sees no sense in lying and cheating. Does not worry about what she cant control. Lives an exciting life, always on the go.",F,Scottish
Jeanette,Little Jean,F,French
Jeanice,Variant of John.,F,French
Jeanie,Variant of John.,F,French
Jeanina,Diminutive form of Jane or Jeanne.,F,French
Jeanina,Diminutive form of Jane or Jeanne.,M,French
Jeanine,Diminutive form of Jane or Jeanne.,F,French
Jeanna,Variant of John.,F,French
Jeanne,feminine form of Jean (God's gift),F,French
Jeanne,Feminine form of Jean: Variant of John.,F,French
Jeanne,Variant of John.,M,French
Jeannell,Diminutive form of Jeanne.,F,English
Jeannelle,Comes from the name Jean and elle meaning girl,F,French
Jeannette,Diminutive form of Jeanne.,F,French
Jeannette,Diminutive form of Jeanne.,M,French
Jeannie,Variant of John.,F,French
Jeannine,Diminutive form of Jane or Jeanne.,F,French
Jeannot,Gift from God,M,Hebrew
Jeb,Variant of Jedidiah.,M,Hebrew
Jed,Beloved by God,M,Hebrew
Jedadiah,Variant of Jedidiah Beloved of Jehovah.,M,Hebrew
Jedaiah,Jehovah knows. A Biblical name.,M,Hebrew
Jedd,Variant of Jedidiah Beloved of Jehovah.,M,Hebrew
Jedediah,Variant of Jedidiah Beloved of Jehovah.,M,Hebrew
Jedi,Beloved by God,M,Hebrew
Jediah,Jehovah knows. A Biblical name.,M,Hebrew
Jedidiah,beloved by God,M,Hebrew
Jedidiah,Beloved of Jehovah. In the bible the blessing name Jedidiah was given King Solomon in infancy.,M,Hebrew
Jedidiah,The hand,M,Arabic
Jeena,Variant of John.,F,French
Jeevan,Life or soul.,M,India
Jeff,Peaceful. Variant of Jeffrey.,M,English
Jefferson,Son of Geoffrey,M,English
Jeffery,Peaceful. Variant of Geoffrey in use since medieval times.,M,English
Jefford,Surname and place-name.,M,English
Jeffrey,Divine peace,M,French
Jeffrey,peaceful gift,M,Anglo
Jeffrey,Peaceful gift,M,Anglo-Saxon
Jeffrey,Peaceful. Variant of Geoffrey. The three-syllable spelling alternate Jeffery has been used since medieval times. See also Geoffrey.,M,English
Jeffry,Peaceful. Variant of Jeffrey.,M,English
Jehane,Feminine form of Jean,F,French
Jehoichin,Jehovah has established.,M,Hebrew
Jehu,Jehovah is He. The biblical military commander of Israel (later king) who was noted for pell-mell style of chariot driving.,M,Hebrew
Jela,father suffered during birth,F,Swahili
Jela,Swahili name meaning &quot;father was suffering during birth.&quot;,M,African
Jelani,Mighty or powerful.,M,Swahili
Jelena,shining light,F,Russian
Jelisa,,F,Unknown
Jem,Supplanter,M,Hebrew
Jem,Variant of Jacob Supplanter.,M,English
Jemal,Handsome. Variant of Jamal. JERALD: (English) Variant and surname form of Gerald Rules by the spear.,M,Arabic
Jemila,Variant of Jameelah. Beautiful,F,Arabic
Jemima,dove,F,Hebrew
Jemima,Little dove. In the bible one of Job's three daughters known as the most beautiful women of their time: (the other two were Keziah and Keren),F,Arabic
Jemima,Little dove. In the bible one of Job's three daughters known as the most beautiful women of their time: (the other two were Keziah and Keren),F,Hebrew
Jemimah,Little dove. In the bible one of Job's three daughters known as the most beautiful women of their time: (the other two were Keziah and Keren),F,Arabic
Jemimah,Little dove. In the bible one of Job's three daughters known as the most beautiful women of their time: (the other two were Keziah and Keren),F,Hebrew
Jemina,Listened to,F,Hebrew
Jemma,Variant of Gemma.,F,English
Jen,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jena,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenae,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jenai,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jenalee,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenalyn,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenalynn,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenalyss,Unknown,F,Unknown
Jenarae,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenarae,Variation of Jenny which is a diminutive of Jane and Jennifer.,M,English
Jenasis,The beginning,F,Unknown
Jenavieve,Phonetic variant of Genevieve.,F,English
Jenay,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jenaya,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jenci,well-born,M,Hungarian
Jenda,Gift from God,F,Hebrew
Jenda,Gift from God,M,Hebrew
Jendayi,thankful,F,Egyptian
Jenee,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jeneen,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenella,Diminutive form of Jeanne.,F,English
Jenelle,Diminutive form of Jeanne.,F,English
Jenene,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenesia,Newcomer,F,Latin
Jenesis,Creation or Beginning,F,Greek
Jenessa,Variant of Jenisa.,F,American
Jenetta,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenette,Diminutive form of Jeanne.,F,French
Jeneva,Phonetic variant of Genevieve.,F,English
Jenevieve,Modern phonetic variant of Genevieve.,F,English
Jeni,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jeni,white; soft,F,Romanian
Jenice,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jeniece,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenifer,Variant of Jennifer common in Cornwall. Derived from Guinevere. In Arthurian Mythology Guinevere was Arthur's queen.,F,Arthurian Legend
Jenifer,Variant of Jennifer common in Cornwall. Derived from Guinevere. In Arthurian Mythology Guinevere was Arthur's queen.,F,English
Jenilynn,Variation of Jenny which is a diminutive of Jane and Jennifer.,M,English
Jenilynn,Variation of Jenny which is a diminutive of Jane and Jennifer.Note: This Database is Copyright Dogwood Technical Services Inc. 1995.,F,English
Jenina,Diminutive form of Jane or Jeanne.,F,French
Jenine,Diminutive form of Jane or Jeanne.,F,French
Jenise,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenisei,"I made it up from Genesis, the meaning of Jennifer is white wave and the meaning of Genesis is origin so the meaning could be white waves origin or the ocean or the sea etc.",F,Unknown
Jenita,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenna,Modern variant of Jenny and Jennifer.,F,English
Jennabel,Modern variant of Jenny and Jennifer.,F,English
Jennabeth,Spiritual gift.,F,Celtic
Jennae,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jennah,Modern variant of Jenny and Jennifer.,F,English
Jennalee,Modern variant of Jenny and Jennifer.,F,English
Jennaleigh,,F,Unknown
Jennalyn,Modern variant of Jenny and Jennifer.,F,English
Jennalyn,Modern variant of Jenny and Jennifer.,M,English
Jennarae,Modern variant of Jenny and Jennifer.,F,English
Jennasee,Modern variant of Jenny and Jennifer.,F,English
Jennavieve,Phonetic variant of Genevieve.,F,English
Jennay,Modern name based on Jane or Jean: Based on Janai meaning God has answered.,F,English
Jennelle,Diminutive form of Jeanne.,F,English
Jennelle,Diminutive form of Jeanne.,M,English
Jennessa,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenneva,Phonetic variant of Genevieve.,F,English
Jenni,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennie,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennifer,Fair one. Variant of Guinevere. In Arthurian Mythology Guinevere was Arthur's queen.,F,Arthurian Legend
Jennifer,Fair one. Variant of Guinevere. In Arthurian Mythology Guinevere was Arthur's queen.,F,English
Jennifer,White wave,F,Celtic
Jennika,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennilee,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennilyn,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennine,Diminutive form of Jane or Jeanne.,F,French
Jennis,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennis,Variation of Jenny which is a diminutive of Jane and Jennifer.,M,English
Jenny,Diminutive of Jane and Jennifer.,F,English
Jenny,White wave,F,Celtic
Jennyann,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jennyfer,White wave,F,Celtic
Jenny-Lee,Variation of Jenny which is a diminutive of Jane and Jennifer.,F,English
Jenny-Lee,Variation of Jenny which is a diminutive of Jane and Jennifer.,M,English
Jennyver,White wave,F,Celtic
Jeno,well-born,M,Greek
Jenralyn,Modern blend of Jerry and Marilyn.,F,English
Jens,Danish form of John (God is gracious),M,Danish
Jens,Gift from God,M,Hebrew
Jens,Scandinavian form of John, &quot;the Lord is gracious.&quot;Variants include Jensen, and Jenson. KNUT,M,Scandinavian
Jensen,Unknown,M,Unknown
Jensina,God has blessed,F,Hebrew
Jensine,God has blessed,F,Hebrew
Jensine,God is generous,F,Danish
Jenyd,Variant of Garrett rules by the spear.,M,English
Jeoffroi,Divine peace,M,French
Jeorjia,Modern phonetic variant of Georgia.,F,English
Jeovana,Feminine of Giovanni: variant of Jovana.,F,English
Jeovanna,Feminine of Giovanni: variant of Jovana.,F,English
Jephtah,First born,M,Hebrew
Jerad,Descending. A pre-flood Biblical name. The character Jared on the late Sixties TV western The Big Valley.,M,Hebrew
Jerad,Variant of Garrett rules by the spear.,M,English
Jerah,Jehovah has seen. A Biblical name. A lunar month: also a given name.,M,Hebrew
Jeraldine,Variant of Geraldine.,F,English
Jeraldo,Variant of Gerald Rules by the spear.,M,Spanish
Jeralyn,Modern blend of Jerry and Marilyn.,F,English
Jeramiah,God will uplift:exalted.,M,Hebrew
Jeramie,Variant of Jeremiah in use since the Middle Ages.,M,English
Jeramy,Variant of Jeremiah in use since the Middle Ages.,M,English
Jeran,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jerande,Variant of Garrett rules by the spear.,M,English
Jerard,Variant of Gerard Rules by the spear. English surname.,M,English
Jerard,Variant of Gerard Rules by the spear. English surname.,M,French
Jerardo,Variant of Gerard Rules by the spear.,M,Spanish
Jerean,,F,Unknown
Jered,Variant of Garrett rules by the spear.,M,English
Jerek,,M,Unknown
Jerel,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerelyn,Modern blend of Jerry and Marilyn.,F,English
Jeremee,Varient of Jeremiah.,M,Unknown
Jeremi,Exalted of the Lord,M,Hebrew
Jeremiah,Exalted of the Lord,M,Hebrew
Jeremias,Exalted of the Lord,M,Hebrew
Jeremias,Jehovah exalts.,M,Spanish
Jeremie,Exalted of the Lord,M,Hebrew
Jeremie,Variant of Jeremiah in use since the Middle Ages.,M,English
Jeremy,Exalted of the Lord,M,Hebrew
Jeremy,Variant of Jeremiah in use since the Middle Ages.,M,English
Jeremyah,Variant of Jeremiah.,M,Unknown
Jeren,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jerett,Spear strong. Variant of Garrett.,M,English
Jeriah,Jehovah has seen. A Biblical name.,M,Hebrew
Jerianne,,F,Unknown
Jeric,Strong: gifted ruler. Blend of Jer- and Derrick.,M,English
Jericho,City of the moon. In the bible Jericho was a Canaan city destroyed when its walls fell down.,M,Arabic
Jerick,Strong: gifted ruler. Blend of Jer- and Derrick.,M,English
Jerico,City of the moon. Variant of Hebrew Jericho.,M,Spanish
Jeriel,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerilyn,Modern blend of Jerry and Marilyn.,F,English
Jerilynn,Modern blend of Jerry and Marilyn.,F,English
Jermain,Brotherly. Variant of Germaine. Singer Jermaine Jackson.,M,English
Jermaine,Brotherly. Variant of Germaine. Singer Jermaine Jackson.,M,English
Jermane,Brotherly. Variant of Germaine. Singer Jermaine Jackson.,M,English
Jermayne,Brotherly. Variant of Germaine. Singer Jermaine Jackson.,M,English
Jerod,Variant of Garrett rules by the spear.,M,English
Jerold,Variant of Gerald Rules by the spear.,M,Spanish
Jerome,holy name,M,Greek
Jeronimo,Spanish form of Jerome saved,M,Spanish
Jerrad,Variant of Garrett rules by the spear.,M,English
Jerrah,Jehovah has seen. A Biblical name.,M,Hebrew
Jerrald,Variant of Gerald Rules by the spear.,M,Spanish
Jerrall,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerred,Variant of Garrett rules by the spear.,M,English
Jerrel,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerrell,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerren,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jerrett,Spear strong. Variant of Garrett.,M,English
Jerric,Strong: gifted ruler. Blend of Jer- and Derrick.,M,English
Jerrick,Strong: gifted ruler. Blend of Jer- and Derrick.,M,English
Jerrico,Moon city,M,Arabic
Jerriel,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerrilyn,Modern blend of Jerry and Marilyn.,F,English
Jerrin,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jerrod,Variant of Garrett rules by the spear.,M,English
Jerrold,Variant of Gerald Rules by the spear.,M,Spanish
Jerron,Modern variant of Israeli Jaron cry of rejoicing.,M,English
Jerry,Abbreviation of names beginning with Jer- See also Gerry.,M,English
Jerryl,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerusha,Married,F,Hebrew
Jervis,Variant of the French name Gervaise spearman.,M,English
Jeryl,Strong: open-minded. Blend of Jerold and Darell.,M,English
Jerzie,Variant of Jersey.,F,English
Jesaja,God will help.,M,German
Jeshurun,"Righteous or Upright One, another name for Israel.",M,Hebrew
Jesiah,Variant of Joshua. Variant of Jesse Jehovah exists.,M,Hebrew
Jesika,Alternate Spelling: Jessica.,F,Unknown
Jeslyn,Blessed with wealth and beauty.,F,French
Jeslynn,Variant of Jessica Lynn.,F,Unknown
Jesper,jasper stone,M,French
Jesper,Jasperstone,M,French
Jess,Variant of Jesse Jehovah exists.,M,Hebrew
Jessamina,Jasmine,F,French
Jessamine,Jasmine,F,French
